original_filename,new_filename,alt_text,page_location
Untitled design (2).png,rebel-reds-gyros-logo.png,Rebel Red's Gyros logo — MagniGyro certified gyroplane dealer in Lamesa TX,Sitewide header
IMG_0001.jpg,magni-m16-exterior-side-view.jpg,Magni M16 gyroplane exterior side view on the tarmac in Lamesa TX,/models/m16
IMG_0002.jpg,magni-m16-cockpit-interior.jpg,Magni M16 gyroplane cockpit and instrument panel close-up,/models/m16
IMG_0003.jpg,magni-m16-in-flight-west-texas.jpg,Magni M16 gyroplane in flight over West Texas landscape,/models/m16
IMG_0004.jpg,magni-m22-exterior-front-view.jpg,Magni M22 enclosed-cabin gyroplane front view on runway,/models/m22
IMG_0005.jpg,magni-m22-cockpit-interior.jpg,Magni M22 gyroplane cockpit interior with enclosed cabin,/models/m22
IMG_0006.jpg,magni-m22-in-flight-texas.jpg,Magni M22 gyroplane in flight over Texas farmland,/models/m22
IMG_0007.jpg,magni-m24-exterior-side-view.jpg,Magni M24 side-by-side gyroplane exterior side view,/models/m24
IMG_0008.jpg,magni-m24-cockpit-side-by-side.jpg,Magni M24 gyroplane side-by-side cockpit seating,/models/m24
IMG_0009.jpg,magni-m24-in-flight-west-texas.jpg,Magni M24 gyroplane in flight over West Texas plains,/models/m24
IMG_0010.jpg,magni-m26-exterior-three-quarter-view.jpg,Magni M26 premium gyroplane three-quarter exterior view,/models/m26
IMG_0011.jpg,magni-m26-cockpit-premium-interior.jpg,Magni M26 gyroplane premium cockpit and instrument panel,/models/m26
IMG_0012.jpg,magni-m26-in-flight-texas-sky.jpg,Magni M26 gyroplane in flight against clear Texas sky,/models/m26
IMG_0013.jpg,rebel-reds-gyros-hangar-exterior.jpg,Rebel Red's Gyros hangar and dealership exterior in Lamesa TX,/about
IMG_0014.jpg,matt-snell-cfi-portrait.jpg,Matt Snell FAA-certified flight instructor and MagniGyro certified dealer at Rebel Red's Gyros,/about
IMG_0015.jpg,matt-and-pam-snell-rebel-reds-gyros.jpg,Matt and Pam Snell owners of Rebel Red's Gyros in Lamesa Texas,/about
IMG_0016.jpg,west-texas-airfield-lamesa-tx.jpg,West Texas airfield near Lamesa TX home of Rebel Red's Gyros gyroplane dealer,Homepage
IMG_0017.jpg,student-in-magni-gyroplane-cockpit.jpg,Flight student seated in Magni gyroplane cockpit during training at Rebel Red's Gyros,/flight-training
IMG_0018.jpg,gyroplane-intro-flight-west-texas.jpg,Passenger experiencing gyroplane intro flight over West Texas with CFI Matt Snell,/intro-flight
IMG_0019.jpg,magni-gyroplanes-lineup-rebel-reds.jpg,Lineup of new Magni gyroplanes for sale at Rebel Red's Gyros dealership in Lamesa TX,/models
IMG_0020.jpg,matt-snell-preflight-inspection-gyroplane.jpg,Matt Snell performing preflight inspection on Magni gyroplane at Rebel Red's Gyros,/services
